Start Date,01/01/2008,,,
2011,3,0.81%,"$11,115",0.81%
2011,4,7.67%,"$11,967",7.67%
2011,5,-1.50%,"$11,788",-1.50%
2011,6,-3.68%,"$11,354",-3.68%
2011,7,-0.13%,"$11,339",-0.13%
2011,8,-9.37%,"$10,277",-9.37%
2011,9,-14.05%,"$8,833",-14.05%
2011,10,9.65%,"$9,686",9.65%
2011,11,-4.63%,"$9,237",-4.63%
2011,12,-1.18%,"$9,128",-1.18%
2012,1,8.88%,"$9,938",8.88%
2012,2,6.75%,"$10,609",6.75%
2012,3,-1.40%,"$10,461",-1.40%
2012,4,-4.55%,"$9,985",-4.55%
2012,5,-5.78%,"$9,408",-5.78%
2012,6,1.33%,"$9,533",1.33%
2012,7,-0.49%,"$9,486",-0.49%
2012,8,4.03%,"$9,868",4.03%
2012,9,5.69%,"$10,429",5.69%
2012,10,-5.75%,"$9,829",-5.75%
2012,11,7.53%,"$10,570",7.53%
2012,12,2.46%,"$10,830",2.46%
2013,1,-1.62%,"$10,655",-1.62%
2013,2,0.90%,"$10,751",0.90%
2013,3,-1.33%,"$10,608",-1.33%
2013,4,4.95%,"$11,132",4.95%
2013,5,-2.57%,"$10,846",-2.57%
2013,6,-2.49%,"$10,576",-2.49%
2013,7,2.48%,"$10,838",2.48%
2013,8,-1.10%,"$10,719",-1.10%
2013,9,3.26%,"$11,069",3.26%
2013,10,4.31%,"$11,546",4.31%
2013,11,-0.96%,"$11,435",-0.96%
2013,12,2.15%,"$11,680",2.15%
2014,1,-5.89%,"$10,992",-5.89%
2014,2,3.61%,"$11,389",3.61%
2014,3,2.35%,"$11,656",2.35%
2014,4,1.74%,"$11,858",1.74%
2014,5,3.21%,"$12,239",3.21%
2014,6,4.57%,"$12,798",4.57%
2014,7,-0.32%,"$12,757",-0.32%
2014,8,4.83%,"$13,373",4.83%
2014,9,-7.51%,"$12,369",-7.51%
2014,10,2.95%,"$12,733",2.95%
2014,11,0.57%,"$12,806",0.57%
2014,12,-2.54%,"$12,481",-2.54%
2015,1,0.79%,"$12,580",0.79%
2015,2,5.06%,"$13,216",5.06%
2015,3,-1.62%,"$13,002",-1.63%
2015,4,4.45%,"$13,580",4.45%
2015,5,-0.61%,"$13,497",-0.61%
2015,6,-3.43%,"$13,035",-3.43%
2015,7,-6.78%,"$12,151",-6.78%
2015,8,-9.18%,"$11,036",-9.18%
2015,9,-1.50%,"$10,870",-1.50%
2015,10,5.62%,"$11,482",5.62%
2015,11,-2.66%,"$11,176",-2.66%
2015,12,-2.70%,"$10,874",-2.70%
2016,1,-3.45%,"$10,500",-3.45%
2016,2,4.14%,"$10,934",4.14%
2016,3,7.94%,"$11,802",7.94%
2016,4,-5.77%,"$11,121",-5.77%
2016,5,2.14%,"$11,360",2.14%
2016,6,5.32%,"$11,964",5.32%
2016,7,6.98%,"$12,799",6.98%
2016,8,0.00%,"$12,799",0.00%
2016,9,4.46%,"$13,369",4.46%
2016,10,0.38%,"$13,420",0.38%
2016,11,-2.47%,"$13,088",-2.47%
2016,12,-2.19%,"$12,802",-2.19%
2017,1,7.32%,"$13,739",7.32%
2017,2,2.76%,"$14,118",2.76%
2017,3,2.59%,"$14,484",2.59%
2017,4,1.59%,"$14,715",1.59%
2017,5,1.84%,"$14,985",1.84%
2017,6,4.01%,"$15,587",4.01%
2017,7,2.35%,"$15,953",2.35%
2017,8,2.40%,"$16,337",2.40%
2017,9,-3.68%,"$15,735",-3.68%
2017,10,5.54%,"$16,607",5.54%
2017,11,-2.62%,"$16,171",-2.62%
2017,12,0.42%,"$16,239",0.42%
2018,1,6.71%,"$17,329",6.71%
2018,2,-5.15%,"$16,436",-5.15%
2018,3,4.61%,"$17,194",4.61%
2018,4,-5.32%,"$16,279",-5.32%
2018,5,0.91%,"$16,427",0.91%
2018,6,-1.72%,"$16,145",-1.72%
2018,7,5.00%,"$16,952",5.00%
