Start Date,01/01/2008,,,
2011,7,-2.27%,"$9,904",-2.27%
2011,8,-6.09%,"$9,301",-6.09%
2011,9,-7.57%,"$8,596",-7.57%
2011,10,11.37%,"$9,573",11.37%
2011,11,-0.37%,"$9,538",-0.37%
2011,12,0.98%,"$9,631",0.98%
2012,1,5.07%,"$10,119",5.07%
2012,2,4.22%,"$10,546",4.22%
2012,3,3.06%,"$10,869",3.06%
2012,4,-0.64%,"$10,800",-0.64%
2012,5,-6.23%,"$10,127",-6.23%
2012,6,4.05%,"$10,538",4.05%
2012,7,0.88%,"$10,630",0.88%
2012,8,2.70%,"$10,917",2.70%
2012,9,2.49%,"$11,189",2.49%
2012,10,-1.81%,"$10,987",-1.81%
2012,11,0.77%,"$11,072",0.77%
2012,12,1.29%,"$11,215",1.29%
2013,1,5.42%,"$11,823",5.42%
2013,2,1.28%,"$11,974",1.28%
2013,3,3.95%,"$12,447",3.95%
2013,4,1.61%,"$12,646",1.61%
2013,5,2.44%,"$12,955",2.44%
2013,6,-1.43%,"$12,770",-1.43%
2013,7,5.75%,"$13,504",5.75%
2013,8,-3.03%,"$13,094",-3.03%
2013,9,3.90%,"$13,605",3.90%
2013,10,4.27%,"$14,186",4.27%
2013,11,2.70%,"$14,569",2.70%
2013,12,2.73%,"$14,967",2.73%
2014,1,-3.17%,"$14,492",-3.17%
2014,2,4.87%,"$15,198",4.87%
2014,3,0.51%,"$15,275",0.51%
2014,4,0.06%,"$15,284",0.06%
2014,5,2.10%,"$15,606",2.10%
2014,6,2.62%,"$16,015",2.62%
2014,7,-1.99%,"$15,696",-1.99%
2014,8,4.15%,"$16,347",4.15%
2014,9,-2.10%,"$16,004",-2.10%
2014,10,2.75%,"$16,443",2.75%
2014,11,2.48%,"$16,851",2.48%
2014,12,-0.04%,"$16,844",-0.04%
2015,1,-2.74%,"$16,383",-2.74%
2015,2,5.74%,"$17,324",5.74%
2015,3,-1.16%,"$17,124",-1.16%
2015,4,0.62%,"$17,229",0.62%
2015,5,1.30%,"$17,453",1.30%
2015,6,-1.67%,"$17,161",-1.67%
2015,7,1.70%,"$17,452",1.70%
2015,8,-6.09%,"$16,389",-6.09%
2015,9,-2.92%,"$15,910",-2.92%
2015,10,7.91%,"$17,169",7.91%
2015,11,0.60%,"$17,272",0.60%
2015,12,-2.13%,"$16,905",-2.13%
2016,1,-5.72%,"$15,937",-5.72%
2016,2,-0.01%,"$15,936",-0.01%
2016,3,7.11%,"$17,069",7.11%
2016,4,0.66%,"$17,181",0.66%
2016,5,1.73%,"$17,479",1.73%
2016,6,0.27%,"$17,527",0.27%
2016,7,3.98%,"$18,224",3.98%
2016,8,0.21%,"$18,261",0.21%
2016,9,0.21%,"$18,299",0.21%
2016,10,-2.19%,"$17,898",-2.19%
2016,11,4.49%,"$18,702",4.49%
2016,12,1.98%,"$19,073",1.98%
2017,1,1.86%,"$19,427",1.86%
2017,2,3.69%,"$20,145",3.69%
2017,3,0.06%,"$20,156",0.06%
2017,4,1.06%,"$20,370",1.06%
2017,5,1.01%,"$20,576",1.01%
2017,6,0.95%,"$20,771",0.95%
2017,7,1.88%,"$21,162",1.88%
2017,8,0.15%,"$21,193",0.15%
2017,9,2.44%,"$21,711",2.44%
2017,10,2.17%,"$22,182",2.17%
2017,11,3.03%,"$22,854",3.03%
2017,12,1.16%,"$23,119",1.16%
2018,1,5.23%,"$24,328",5.23%
2018,2,-3.76%,"$23,414",-3.76%
2018,3,-1.95%,"$22,956",-1.95%
2018,4,0.45%,"$23,059",0.45%
2018,5,2.72%,"$23,687",2.72%
2018,6,0.70%,"$23,853",0.70%
2018,7,3.32%,"$24,645",3.32%
