Start Date,01/01/2008,,,,,,
End Date,07/31/2018,,,,,,
Initial Balance,"$10,000",,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Portfolio 1,,,,,,,
,,,,,,,
Ticker,Name,Allocation,,,,,
2009,1,-8.91%,"$4,328",-8.91%,,,
2009,2,-2.38%,"$4,225",-2.38%,,,
2009,3,12.40%,"$4,749",12.40%,,,
2009,4,17.44%,"$5,578",17.44%,,,
2009,5,17.89%,"$6,576",17.89%,,,
2009,6,-2.45%,"$6,414",-2.45%,,,
2009,7,10.91%,"$7,114",10.91%,,,
2009,8,-0.71%,"$7,063",-0.71%,,,
2009,9,9.96%,"$7,767",9.96%,,,
2009,10,-2.41%,"$7,579",-2.41%,,,
2009,11,7.18%,"$8,124",7.18%,,,
2009,12,3.10%,"$8,376",3.10%,,,
2010,1,-6.73%,"$7,812",-6.73%,,,
2010,2,1.88%,"$7,959",1.88%,,,
2010,3,8.19%,"$8,611",8.19%,,,
2010,4,-0.21%,"$8,592",-0.21%,,,
2010,5,-9.18%,"$7,804",-9.18%,,,
2010,6,-0.55%,"$7,761",-0.55%,,,
2010,7,10.21%,"$8,553",10.21%,,,
2010,8,-2.56%,"$8,335",-2.56%,,,
2010,9,11.42%,"$9,287",11.42%,,,
2010,10,3.10%,"$9,575",3.10%,,,
2010,11,-2.84%,"$9,303",-2.84%,,,
2010,12,7.56%,"$10,007",7.56%,,,
2011,1,-3.45%,"$9,662",-3.45%,,,
2011,2,-0.17%,"$9,645",-0.17%,,,
2011,3,5.47%,"$10,173",5.47%,,,
2011,4,3.37%,"$10,516",3.37%,,,
2011,5,-2.94%,"$10,206",-2.94%,,,
2011,6,-1.00%,"$10,104",-1.00%,,,
2011,7,-0.62%,"$10,042",-0.62%,,,
2011,8,-9.09%,"$9,130",-9.09%,,,
2011,9,-18.44%,"$7,446",-18.44%,,,
2011,10,15.91%,"$8,631",15.91%,,,
2011,11,-1.71%,"$8,483",-1.71%,,,
2011,12,-4.17%,"$8,129",-4.17%,,,
2012,1,10.78%,"$9,006",10.78%,,,
2012,2,5.43%,"$9,495",5.43%,,,
2012,3,-2.60%,"$9,248",-2.60%,,,
2012,4,-2.09%,"$9,055",-2.09%,,,
2012,5,-10.67%,"$8,089",-10.67%,,,
2012,6,5.02%,"$8,495",5.02%,,,
2012,7,0.20%,"$8,512",0.20%,,,
2012,8,0.25%,"$8,534",0.25%,,,
2012,9,5.31%,"$8,987",5.31%,,,
2012,10,-0.55%,"$8,937",-0.55%,,,
2012,11,1.28%,"$9,051",1.28%,,,
2012,12,7.06%,"$9,690",7.06%,,,
2013,1,0.07%,"$9,697",0.07%,,,
2013,2,-2.36%,"$9,468",-2.36%,,,
2013,3,-1.27%,"$9,348",-1.27%,,,
2013,4,2.00%,"$9,536",2.00%,,,
2013,5,-5.07%,"$9,052",-5.07%,,,
2013,6,-5.33%,"$8,570",-5.33%,,,
2013,7,0.70%,"$8,630",0.70%,,,
2013,8,-3.43%,"$8,334",-3.43%,,,
2013,9,7.27%,"$8,939",7.27%,,,
2013,10,4.34%,"$9,327",4.34%,,,
2013,11,-0.93%,"$9,240",-0.93%,,,
2013,12,-0.28%,"$9,214",-0.28%,,,
2014,1,-8.43%,"$8,437",-8.43%,,,
2014,2,3.24%,"$8,710",3.24%,,,
2014,3,4.62%,"$9,113",4.62%,,,
2014,4,0.89%,"$9,194",0.89%,,,
2014,5,3.10%,"$9,479",3.10%,,,
2014,6,3.17%,"$9,780",3.17%,,,
2014,7,1.37%,"$9,913",1.37%,,,
2014,8,3.84%,"$10,294",3.84%,,,
2014,9,-7.18%,"$9,555",-7.18%,,,
2014,10,2.23%,"$9,768",2.23%,,,
2014,11,-1.10%,"$9,661",-1.10%,,,
2014,12,-4.69%,"$9,208",-4.69%,,,
2015,1,-0.20%,"$9,190",-0.20%,,,
2015,2,4.66%,"$9,617",4.66%,,,
2015,3,-2.05%,"$9,420",-2.05%,,,
2015,4,7.41%,"$10,118",7.41%,,,
2015,5,-3.55%,"$9,759",-3.55%,,,
2015,6,-2.54%,"$9,511",-2.54%,,,
2015,7,-6.26%,"$8,915",-6.26%,,,
2015,8,-9.86%,"$8,036",-9.86%,,,
2015,9,-2.88%,"$7,804",-2.88%,,,
2015,10,5.29%,"$8,217",5.29%,,,
2015,11,-2.30%,"$8,028",-2.30%,,,
2015,12,-3.44%,"$7,752",-3.44%,,,
2016,1,-5.75%,"$7,307",-5.75%,,,
2016,2,-0.32%,"$7,283",-0.32%,,,
2016,3,12.72%,"$8,210",12.72%,,,
2016,4,1.01%,"$8,293",1.01%,,,
2016,5,-3.24%,"$8,024",-3.24%,,,
2016,6,4.93%,"$8,420",4.93%,,,
2016,7,5.14%,"$8,852",5.14%,,,
2016,8,0.78%,"$8,921",0.78%,,,
2016,9,2.05%,"$9,105",2.05%,,,
2016,10,0.32%,"$9,134",0.32%,,,
2016,11,-4.05%,"$8,763",-4.05%,,,
2016,12,-0.74%,"$8,699",-0.74%,,,
2017,1,5.76%,"$9,199",5.76%,,,
2017,2,2.25%,"$9,406",2.25%,,,
2017,3,2.84%,"$9,674",2.84%,,,
2017,4,1.56%,"$9,825",1.56%,,,
2017,5,0.99%,"$9,922",0.99%,,,
2017,6,0.85%,"$10,006",0.85%,,,
2017,7,5.34%,"$10,540",5.34%,,,
2017,8,3.00%,"$10,857",3.00%,,,
2017,9,-0.49%,"$10,803",-0.49%,,,
2017,10,2.43%,"$11,066",2.43%,,,
2017,11,-0.34%,"$11,029",-0.34%,,,
2017,12,3.70%,"$11,437",3.70%,,,
2018,1,8.56%,"$12,416",8.56%,,,
2018,2,-5.36%,"$11,751",-5.36%,,,
2018,3,-0.21%,"$11,726",-0.21%,,,
2018,4,-2.77%,"$11,401",-2.77%,,,
2018,5,-2.34%,"$11,134",-2.34%,,,
2018,6,-4.79%,"$10,600",-4.79%,,,
2018,7,3.98%,"$11,022",3.98%,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
